Iteration,Parameters,RMSE,R-squared
87,[0.77738739 1.87473364],261.4975028321353,0.459172944200932
88,[0.54420131 1.97050087],771.9020303479377,0.07162657316785459
89,[0.70657366 1.89751141],474.29134942592367,0.2363188455630717
90,[0.69083041 1.90466712],244.56160061126286,0.532469284886077
91,[0.50602441 2.00102043],127.14013484841965,0.6357174316335692
92,[0.54869122 1.97480355],248.0613423762151,0.3991970342778758
93,[0.77542413 1.86368156],484.9704062823877,0.26028850769590184
94,[0.65509572 1.91544558],477.4572447377841,0.012472270909188676
95,[0.52874559 1.98759374],199.0821391552954,0.41176686352105873
96,[0.5237172  1.99114178],182.82747774017034,0.27841259082688274
97,[0.40624036 2.07387854],222.45159071956635,-0.44309835685452215
98,[0.54222475 1.98581063],171.82220617865255,-0.19285922793172627
